Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
;"3038 Угол 25мм(800*800) Мрамор беж. свет. гл.";1000.00;3038-ugol-25mm800800-mramor-bezh-svet-gl;1;;;;;;1;"3038 Угол 25мм(800*800) Мрамор беж. свет. гл.";"3038 Угол 25мм(800*800) Мрамор беж. свет. гл.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3038 Ст. панель (3050*600*4) Мрамор бежевый светлый матов.";930.00;3038-st-panel-30506004-mramor-bezhevyj-svetlyj-matov-;1;;;;;;7;"3038 Ст. панель (3050*600*4) Мрамор бежевый светлый матов.  ";"3038 Ст. панель (3050*600*4) Мрамор бежевый светлый матов.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3038 Ст. панель (3050*600*4) Мрамор бежевый светлый глянец.";1300.00;3038-st-panel-30506004-mramor-bezhevyj-svetlyj-glyanets-;1;;;;;;0;"3038 Ст. панель (3050*600*4) Мрамор бежевый светлый глянец. ";"3038 Ст. панель (3050*600*4) Мрамор бежевый светлый глянец. ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3038 Ст-ца 38мм (3050*600) Мрамор бежевый светлый мат.";2000.00;3038-st-tsa-38mm-3050600-mramor-bezhevyj-svetlyj-mat;1;;;;;;2;"3038 Ст-ца 38мм (3050*600) Мрамор бежевый светлый мат.";"3038 Ст-ца 38мм (3050*600) Мрамор бежевый светлый мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3038 Ст-ца 38мм (3050*600) Мрамор бежевый светлый гл.";2300.00;3038-st-tsa-38mm-3050600-mramor-bezhevyj-svetlyj-gl;1;;;;;;1;"3038 Ст-ца 38мм (3050*600) Мрамор бежевый светлый гл.";"3038 Ст-ца 38мм (3050*600) Мрамор бежевый светлый гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3038 Ст-ца 25мм (3050*600) Мрамор бежевый светлый мат.";1030.00;3038-st-tsa-25mm-3050600-mramor-bezhevyj-svetlyj-mat;1;;;;;;7;"3038 Ст-ца 25мм (3050*600) Мрамор бежевый светлый мат.";"3038 Ст-ца 25мм (3050*600) Мрамор бежевый светлый мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3038 Ст-ца 25мм (3050*600) Мрамор бежевый светлый гл.";1330.00;3038-st-tsa-25mm-3050600-mramor-bezhevyj-svetlyj-gl;1;;;;;;1;"3038 Ст-ца 25мм (3050*600) Мрамор бежевый светлый гл.";"3038 Ст-ца 25мм (3050*600) Мрамор бежевый светлый гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3038 Мрамор бежевый светлый Кромка-клей матов. 3050х44мм";70.00;3038-mramor-bezhevyj-svetlyj-kromka-klej-matov-3050h44mm;1;;;;;;10;"3038 Мрамор бежевый светлый Кромка-клей матов. 3050х44мм";"3038 Мрамор бежевый светлый Кромка-клей матов. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый Кромка-клей глянец. 3050х44мм";70.00;3038-mramor-bezhevyj-svetlyj-kromka-klej-glyanets-3050h44mm;1;;;;;;10;"3038 Мрамор бежевый светлый Кромка-клей глянец. 3050х44мм";"3038 Мрамор бежевый светлый Кромка-клей глянец. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый кромка матов.3050х44мм";50.00;3038-mramor-bezhevyj-svetlyj-kromka-matov3050h44mm;1;;;;;;10;"3038 Мрамор бежевый светлый кромка матов.3050х44мм";"3038 Мрамор бежевый светлый кромка матов.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый кромка глянец.3050х44мм";50.00;3038-mramor-bezhevyj-svetlyj-kromka-glyanets3050h44mm;1;;;;;;10;"3038 Мрамор бежевый светлый кромка глянец.3050х44мм";"3038 Мрамор бежевый светлый кромка глянец.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый вставка матов. 3050х32мм";30.00;3038-mramor-bezhevyj-svetlyj-vstavka-matov-3050h32mm;1;;;;;;8;"3038 Мрамор бежевый светлый вставка матов. 3050х32мм";"3038 Мрамор бежевый светлый вставка матов. 3050х32мм";;;;2cd0e85ef79e6f2198f013e6c0d59c80.png;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый вставка глянец. 3050х32мм";30.00;3038-mramor-bezhevyj-svetlyj-vstavka-glyanets-3050h32mm;1;;;;;;10;"3038 Мрамор бежевый светлый вставка глянец. 3050х32мм";"3038 Мрамор бежевый светлый вставка глянец. 3050х32мм";;;;2cd0e85ef79e6f2198f013e6c0d59c80_1.png;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый  Вставка-клей матов. 3050х32мм";50.00;3038-mramor-bezhevyj-svetlyj-vstavka-klej-matov-3050h32mm;1;;;;;;10;"3038 Мрамор бежевый светлый  Вставка-клей матов. 3050х32мм";"3038 Мрамор бежевый светлый  Вставка-клей матов. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3038 Мрамор бежевый светлый  Вставка-клей глянец. 3050х32мм";50.00;3038-mramor-bezhevyj-svetlyj-vstavka-klej-glyanets-3050h32mm;1;;;;;;10;"3038 Мрамор бежевый светлый  Вставка-клей глянец. 3050х32мм";"3038 Мрамор бежевый светлый  Вставка-клей глянец. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3037 Угол 38мм(850*850) Апатит мат.";1790.00;3037-ugol-38mm850850-apatit-mat;1;;;;;;0;"3037 Угол 38мм(850*850) Апатит мат.";"3037 Угол 38мм(850*850) Апатит мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3037 Угол 38мм(850*850) Апатит гл.";1990.00;3037-ugol-38mm850850-apatit-gl;1;;;;;;0;"3037 Угол 38мм(850*850) Апатит гл.";"3037 Угол 38мм(850*850) Апатит гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3037 Угол 38мм(800*800) Апатит мат.";1700.00;3037-ugol-38mm800800-apatit-mat;1;;;;;;1;"3037 Угол 38мм(800*800) Апатит мат.";"3037 Угол 38мм(800*800) Апатит мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3037 Угол 38мм(800*800) Апатит гл.";1900.00;3037-ugol-38mm800800-apatit-gl;1;;;;;;0;"3037 Угол 38мм(800*800) Апатит гл.";"3037 Угол 38мм(800*800) Апатит гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3037 Угол 25мм(850*850) Апатит мат.";850.00;3037-ugol-25mm850850-apatit-mat;1;;;;;;0;"3037 Угол 25мм(850*850) Апатит мат.";"3037 Угол 25мм(850*850) Апатит мат.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
;"3037 Угол 25мм(850*850) Апатит гл.";1050.00;3037-ugol-25mm850850-apatit-gl;1;;;;;;0;"3037 Угол 25мм(850*850) Апатит гл.";"3037 Угол 25мм(850*850) Апатит гл.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
;"3037 Угол 25мм(800*800) Апатит мат.";800.00;3037-ugol-25mm800800-apatit-mat;1;;;;;;2;"3037 Угол 25мм(800*800) Апатит мат.";"3037 Угол 25мм(800*800) Апатит мат.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3037 Угол 25мм(800*800) Апатит гл.";1000.00;3037-ugol-25mm800800-apatit-gl;1;;;;;;0;"3037 Угол 25мм(800*800) Апатит гл.";"3037 Угол 25мм(800*800) Апатит гл.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3037 Ст. панель (3050*600*4) Апатит матов.";930.00;3037-st-panel-30506004-apatit-matov-;1;;;;;;5;"3037 Ст. панель (3050*600*4) Апатит матов.  ";"3037 Ст. панель (3050*600*4) Апатит матов.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3037 Ст. панель (3050*600*4) Апатит глянец.";1300.00;3037-st-panel-30506004-apatit-glyanets-;1;;;;;;2;"3037 Ст. панель (3050*600*4) Апатит глянец.  ";"3037 Ст. панель (3050*600*4) Апатит глянец.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3037 Ст-ца 38мм (3050*600) Апатит мат.";2000.00;3037-st-tsa-38mm-3050600-apatit-mat;1;;;;;;1;"3037 Ст-ца 38мм (3050*600) Апатит мат.";"3037 Ст-ца 38мм (3050*600) Апатит мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3037 Ст-ца 38мм (3050*600) Апатит гл.";2300.00;3037-st-tsa-38mm-3050600-apatit-gl;1;;;;;;0;"3037 Ст-ца 38мм (3050*600) Апатит гл.";"3037 Ст-ца 38мм (3050*600) Апатит гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3037 Ст-ца 25мм (3050*600) Апатит мат.";1030.00;3037-st-tsa-25mm-3050600-apatit-mat;1;;;;;;5;"3037 Ст-ца 25мм (3050*600) Апатит мат.";"3037 Ст-ца 25мм (3050*600) Апатит мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3037 Ст-ца 25мм (3050*600) Апатит гл.";1330.00;3037-st-tsa-25mm-3050600-apatit-gl;1;;;;;;0;"3037 Ст-ца 25мм (3050*600) Апатит гл.";"3037 Ст-ца 25мм (3050*600) Апатит гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3037 Апатит Кромка-клей матов. 3050х44мм";70.00;3037-apatit-kromka-klej-matov-3050h44mm;1;;;;;;10;"3037 Апатит Кромка-клей матов. 3050х44мм";"3037 Апатит Кромка-клей матов. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит Кромка-клей глянец. 3050х44мм";70.00;3037-apatit-kromka-klej-glyanets-3050h44mm;1;;;;;;10;"3037 Апатит Кромка-клей глянец. 3050х44мм";"3037 Апатит Кромка-клей глянец. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит кромка матов.3050х44мм";50.00;3037-apatit-kromka-matov3050h44mm;1;;;;;;10;"3037 Апатит кромка матов.3050х44мм";"3037 Апатит кромка матов.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит кромка глянец.3050х44мм";50.00;3037-apatit-kromka-glyanets3050h44mm;1;;;;;;10;"3037 Апатит кромка глянец.3050х44мм";"3037 Апатит кромка глянец.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит вставка матов. 3050х32мм";30.00;3037-apatit-vstavka-matov-3050h32mm;1;;;;;;6;"3037 Апатит вставка матов. 3050х32мм";"3037 Апатит вставка матов. 3050х32мм";;;;625683959ceac307781f41c7a7c4bccb.png;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит вставка глянец. 3050х32мм";30.00;3037-apatit-vstavka-glyanets-3050h32mm;1;;;;;;10;"3037 Апатит вставка глянец. 3050х32мм";"3037 Апатит вставка глянец. 3050х32мм";;;;729c0d4410d3e1ae45b2ea9a724107df.png;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит  Вставка-клей матов. 3050х32мм";50.00;3037-apatit-vstavka-klej-matov-3050h32mm;1;;;;;;10;"3037 Апатит  Вставка-клей матов. 3050х32мм";"3037 Апатит  Вставка-клей матов. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3037 Апатит  Вставка-клей глянец. 3050х32мм";50.00;3037-apatit-vstavka-klej-glyanets-3050h32mm;1;;;;;;10;"3037 Апатит  Вставка-клей глянец. 3050х32мм";"3037 Апатит  Вставка-клей глянец. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3036 Угол 38мм(850*850) Альмадин мат.";1790.00;3036-ugol-38mm850850-almadin-mat;1;;;;;;0;"3036 Угол 38мм(850*850) Альмадин мат.";"3036 Угол 38мм(850*850) Альмадин мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3036 Угол 38мм(850*850) Альмадин гл.";1990.00;3036-ugol-38mm850850-almadin-gl;1;;;;;;0;"3036 Угол 38мм(850*850) Альмадин гл.";"3036 Угол 38мм(850*850) Альмадин гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3036 Угол 38мм(800*800) Альмадин мат.";1700.00;3036-ugol-38mm800800-almadin-mat;1;;;;;;0;"3036 Угол 38мм(800*800) Альмадин мат.";"3036 Угол 38мм(800*800) Альмадин мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3036 Угол 38мм(800*800) Альмадин гл.";1900.00;3036-ugol-38mm800800-almadin-gl;1;;;;;;0;"3036 Угол 38мм(800*800) Альмадин гл.";"3036 Угол 38мм(800*800) Альмадин гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3036 Угол 25мм(850*850) Альмадин мат.";850.00;3036-ugol-25mm850850-almadin-mat;1;;;;;;0;"3036 Угол 25мм(850*850) Альмадин мат.";"3036 Угол 25мм(850*850) Альмадин мат.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
;"3036 Угол 25мм(850*850) Альмадин гл.";1050.00;3036-ugol-25mm850850-almadin-gl;1;;;;;;0;"3036 Угол 25мм(850*850) Альмадин гл.";"3036 Угол 25мм(850*850) Альмадин гл.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
;"3036 Угол 25мм(800*800) Альмадин гл.";1000.00;3036-ugol-25mm800800-almadin-gl;1;;;;;;0;"3036 Угол 25мм(800*800) Альмадин гл.";"3036 Угол 25мм(800*800) Альмадин гл.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3036 Угол 25мм(800*800)  Альмадин мат.";800.00;3036-ugol-25mm800800-almadin-mat;1;;;;;;0;"3036 Угол 25мм(800*800)  Альмадин мат.";"3036 Угол 25мм(800*800)  Альмадин мат.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3036 Ст. панель (3050*600*4) Альмадин матов.";930.00;3036-st-panel-30506004-almadin-matov-;1;;;;;;0;"3036 Ст. панель (3050*600*4) Альмадин матов.  ";"3036 Ст. панель (3050*600*4) Альмадин матов.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3036 Ст. панель (3050*600*4) Альмадин глянец.";1300.00;3036-st-panel-30506004-almadin-glyanets-;1;;;;;;0;"3036 Ст. панель (3050*600*4) Альмадин глянец.  ";"3036 Ст. панель (3050*600*4) Альмадин глянец.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3036 Ст-ца 38мм (3050*600) Альмадин мат.";2000.00;3036-st-tsa-38mm-3050600-almadin-mat;1;;;;;;0;"3036 Ст-ца 38мм (3050*600) Альмадин мат.";"3036 Ст-ца 38мм (3050*600) Альмадин мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3036 Ст-ца 38мм (3050*600) Альмадин гл.";2300.00;3036-st-tsa-38mm-3050600-almadin-gl;1;;;;;;0;"3036 Ст-ца 38мм (3050*600) Альмадин гл.";"3036 Ст-ца 38мм (3050*600) Альмадин гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3036 Ст-ца 25мм (3050*600) Альмадин мат.";1030.00;3036-st-tsa-25mm-3050600-almadin-mat;1;;;;;;0;"3036 Ст-ца 25мм (3050*600) Альмадин мат.";"3036 Ст-ца 25мм (3050*600) Альмадин мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3036 Ст-ца 25мм (3050*600) Альмадин гл.";1330.00;3036-st-tsa-25mm-3050600-almadin-gl;1;;;;;;0;"3036 Ст-ца 25мм (3050*600) Альмадин гл.";"3036 Ст-ца 25мм (3050*600) Альмадин гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3036 Альмадин Кромка-клей матов. 3050х44мм";70.00;3036-almadin-kromka-klej-matov-3050h44mm;1;;;;;;10;"3036 Альмадин Кромка-клей матов. 3050х44мм";"3036 Альмадин Кромка-клей матов. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин Кромка-клей глянец. 3050х44мм";70.00;3036-almadin-kromka-klej-glyanets-3050h44mm;1;;;;;;10;"3036 Альмадин Кромка-клей глянец. 3050х44мм";"3036 Альмадин Кромка-клей глянец. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин кромка матов.3050х44мм";50.00;3036-almadin-kromka-matov3050h44mm;1;;;;;;10;"3036 Альмадин кромка матов.3050х44мм";"3036 Альмадин кромка матов.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин кромка глянец.3050х44мм";50.00;3036-almadin-kromka-glyanets3050h44mm;1;;;;;;10;"3036 Альмадин кромка глянец.3050х44мм";"3036 Альмадин кромка глянец.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин вставка матов. 3050х32мм";30.00;3036-almadin-vstavka-matov-3050h32mm;1;;;;;;10;"3036 Альмадин вставка матов. 3050х32мм";"3036 Альмадин вставка матов. 3050х32мм";;;;vlagostoykaya-almandin.jpg;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин вставка глянец. 3050х32мм";30.00;3036-almadin-vstavka-glyanets-3050h32mm;1;;;;;;10;"3036 Альмадин вставка глянец. 3050х32мм";"3036 Альмадин вставка глянец. 3050х32мм";;;;vlagostoykaya-almandin_1.jpg;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин  Вставка-клей матов. 3050х32мм";50.00;3036-almadin-vstavka-klej-matov-3050h32mm;1;;;;;;10;"3036 Альмадин  Вставка-клей матов. 3050х32мм";"3036 Альмадин  Вставка-клей матов. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3036 Альмадин  Вставка-клей глянец. 3050х32мм";50.00;3036-almadin-vstavka-klej-glyanets-3050h32mm;1;;;;;;10;"3036 Альмадин  Вставка-клей глянец. 3050х32мм";"3036 Альмадин  Вставка-клей глянец. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3035 Угол 38мм(850*850) Красный гранит мат.";1790.00;3035-ugol-38mm850850-krasnyj-granit-mat;1;;;;;;0;"3035 Угол 38мм(850*850) Красный гранит мат.";"3035 Угол 38мм(850*850) Красный гранит мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3035 Угол 38мм(850*850) Красный гранит гл.";1990.00;3035-ugol-38mm850850-krasnyj-granit-gl;1;;;;;;0;"3035 Угол 38мм(850*850) Красный гранит гл.";"3035 Угол 38мм(850*850) Красный гранит гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3035 Угол 38мм(800*800) Красный гранит мат.";1700.00;3035-ugol-38mm800800-krasnyj-granit-mat;1;;;;;;2;"3035 Угол 38мм(800*800) Красный гранит мат.";"3035 Угол 38мм(800*800) Красный гранит мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3035 Угол 38мм(800*800) Красный гранит гл.";1900.00;3035-ugol-38mm800800-krasnyj-granit-gl;1;;;;;;0;"3035 Угол 38мм(800*800) Красный гранит гл.";"3035 Угол 38мм(800*800) Красный гранит гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3035 Угол 25мм(850*850) Красный гранит мат.";850.00;3035-ugol-25mm850850-krasnyj-granit-mat;1;;;;;;0;"3035 Угол 25мм(850*850) Красный гранит мат.";"3035 Угол 25мм(850*850) Красный гранит мат.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
;"3035 Угол 25мм(850*850) Красный гранит гл.";1050.00;3035-ugol-25mm850850-krasnyj-granit-gl;1;;;;;;0;"3035 Угол 25мм(850*850) Красный гранит гл.";"3035 Угол 25мм(850*850) Красный гранит гл.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
;"3035 Угол 25мм(800*800) Красный гранит мат.";800.00;3035-ugol-25mm800800-krasnyj-granit-mat;1;;;;;;2;"3035 Угол 25мм(800*800) Красный гранит мат.";"3035 Угол 25мм(800*800) Красный гранит мат.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3035 Угол 25мм(800*800) Красный гранит гл.";1000.00;3035-ugol-25mm800800-krasnyj-granit-gl;1;;;;;;0;"3035 Угол 25мм(800*800) Красный гранит гл.";"3035 Угол 25мм(800*800) Красный гранит гл.";;;;;;;;;;;;;;;;;;;;;;;;;800*800;;;25мм
;"3035 Ст. панель (3050*600*4) Красный гранит матов.";930.00;3035-st-panel-30506004-krasnyj-granit-matov-;1;;;;;;4;"3035 Ст. панель (3050*600*4) Красный гранит матов.  ";"3035 Ст. панель (3050*600*4) Красный гранит матов.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3035 Ст. панель (3050*600*4) Красный гранит глянец.";1300.00;3035-st-panel-30506004-krasnyj-granit-glyanets-;1;;;;;;2;"3035 Ст. панель (3050*600*4) Красный гранит глянец.  ";"3035 Ст. панель (3050*600*4) Красный гранит глянец.  ";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;4мм
;"3035 Ст-ца 38мм (3050*600) Красный гранит мат.";2000.00;3035-st-tsa-38mm-3050600-krasnyj-granit-mat;1;;;;;;0;"3035 Ст-ца 38мм (3050*600) Красный гранит мат.";"3035 Ст-ца 38мм (3050*600) Красный гранит мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3035 Ст-ца 38мм (3050*600) Красный гранит гл.";2300.00;3035-st-tsa-38mm-3050600-krasnyj-granit-gl;1;;;;;;1;"3035 Ст-ца 38мм (3050*600) Красный гранит гл.";"3035 Ст-ца 38мм (3050*600) Красный гранит гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;38мм
;"3035 Ст-ца 25мм (3050*600) Красный гранит мат.";1030.00;3035-st-tsa-25mm-3050600-krasnyj-granit-mat;1;;;;;;1;"3035 Ст-ца 25мм (3050*600) Красный гранит мат.";"3035 Ст-ца 25мм (3050*600) Красный гранит мат.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3035 Ст-ца 25мм (3050*600) Красный гранит гл.";1330.00;3035-st-tsa-25mm-3050600-krasnyj-granit-gl;1;;;;;;4;"3035 Ст-ца 25мм (3050*600) Красный гранит гл.";"3035 Ст-ца 25мм (3050*600) Красный гранит гл.";;;;;;;;600;;;;;;3050;;;;;;;;;;;;;;25мм
;"3035 Красный гранит Кромка-клей матов. 3050х44мм";70.00;3035-krasnyj-granit-kromka-klej-matov-3050h44mm;1;;;;;;10;"3035 Красный гранит Кромка-клей матов. 3050х44мм";"3035 Красный гранит Кромка-клей матов. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит Кромка-клей глянец. 3050х44мм";70.00;3035-krasnyj-granit-kromka-klej-glyanets-3050h44mm;1;;;;;;10;"3035 Красный гранит Кромка-клей глянец. 3050х44мм";"3035 Красный гранит Кромка-клей глянец. 3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит кромка матов.3050х44мм";50.00;3035-krasnyj-granit-kromka-matov3050h44mm;1;;;;;;8;"3035 Красный гранит кромка матов.3050х44мм";"3035 Красный гранит кромка матов.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит кромка глянец.3050х44мм";50.00;3035-krasnyj-granit-kromka-glyanets3050h44mm;1;;;;;;10;"3035 Красный гранит кромка глянец.3050х44мм";"3035 Красный гранит кромка глянец.3050х44мм";;;;;;;;44мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит вставка матов. 3050х32мм";30.00;3035-krasnyj-granit-vstavka-matov-3050h32mm;1;;;;;;10;"3035 Красный гранит вставка матов. 3050х32мм";"3035 Красный гранит вставка матов. 3050х32мм";;;;image.raw?type=img;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит вставка глянец. 3050х32мм";30.00;3035-krasnyj-granit-vstavka-glyanets-3050h32mm;1;;;;;;10;"3035 Красный гранит вставка глянец. 3050х32мм";"3035 Красный гранит вставка глянец. 3050х32мм";;;;1336223986909granitkrasnii.jpg;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит  Вставка-клей матов. 3050х32мм";50.00;3035-krasnyj-granit-vstavka-klej-matov-3050h32mm;1;;;;;;10;"3035 Красный гранит  Вставка-клей матов. 3050х32мм";"3035 Красный гранит  Вставка-клей матов. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3035 Красный гранит  Вставка-клей глянец. 3050х32мм";50.00;3035-krasnyj-granit-vstavka-klej-glyanets-3050h32mm;1;;;;;;10;"3035 Красный гранит  Вставка-клей глянец. 3050х32мм";"3035 Красный гранит  Вставка-клей глянец. 3050х32мм";;;;;;;;32мм;;;;;;;;;;;;;;;;;;;;
;"3034 Угол 38мм(850*850) Мрамор Марк.синий мат.";1790.00;3034-ugol-38mm850850-mramor-marksinij-mat;1;;;;;;1;"3034 Угол 38мм(850*850) Мрамор Марк.синий мат.";"3034 Угол 38мм(850*850) Мрамор Марк.синий мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3034 Угол 38мм(850*850) Мрамор Марк. синий гл.";1990.00;3034-ugol-38mm850850-mramor-mark-sinij-gl;1;;;;;;0;"3034 Угол 38мм(850*850) Мрамор Марк. синий гл.";"3034 Угол 38мм(850*850) Мрамор Марк. синий гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3034 Угол 38мм(800*800) Мрамор Марк. синий мат.";1700.00;3034-ugol-38mm800800-mramor-mark-sinij-mat;1;;;;;;3;"3034 Угол 38мм(800*800) Мрамор Марк. синий мат.";"3034 Угол 38мм(800*800) Мрамор Марк. синий мат.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3034 Угол 38мм(800*800) Мрамор Марк. синий гл.";1900.00;3034-ugol-38mm800800-mramor-mark-sinij-gl;1;;;;;;0;"3034 Угол 38мм(800*800) Мрамор Марк. синий гл.";"3034 Угол 38мм(800*800) Мрамор Марк. синий гл.";;;;;;;;;;;;;;;;;;;;;;;;;;;;38мм
;"3034 Угол 25мм(850*850) Мрамор Марквина синий мат.";850.00;3034-ugol-25mm850850-mramor-markvina-sinij-mat;1;;;;;;0;"3034 Угол 25мм(850*850) Мрамор Марквина синий мат.";"3034 Угол 25мм(850*850) Мрамор Марквина синий мат.";;;;;;;;;;;;;;;;;;;;;;;;;850*850;;;25мм
