Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Металл/100шт";0.90;ugolok-pl-s-zaglushkoj-metall100sht;1;;;;;00000000837;1000;"Уголок ПЛ с заглушкой Металл/100шт";"Уголок ПЛ с заглушкой Металл/100шт";;;;ugolokplastikovyj.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Донской/ 100шт";0.91;ugolok-pl-s-zaglushkoj-donskoj-100sht;1;;;;;00000000852;0;"Уголок ПЛ с заглушкой Донской/ 100шт";"Уголок ПЛ с заглушкой Донской/ 100шт";;;;ugolokplastikovyjkrdt.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Вишня";0.72;ugolok-pl-s-zaglushkoj-vishnya;1;;;;;00000002169;0;"Уголок ПЛ с заглушкой Вишня";"Уголок ПЛ с заглушкой Вишня";;;;ugolokplastikovyjvishnja.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Венге";0.92;ugolok-pl-s-zaglushkoj-venge;1;;;;;00000000838;980;"Уголок ПЛ с заглушкой Венге";"Уголок ПЛ с заглушкой Венге";;;;145877.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Ваниль";0.92;ugolok-pl-s-zaglushkoj-vanil;1;;;;;00000002541;0;"Уголок ПЛ с заглушкой Ваниль";"Уголок ПЛ с заглушкой Ваниль";;;;28087.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголок ПЛ";"Уголок ПЛ с заглушкой Бук";0.87;ugolok-pl-s-zaglushkoj-buk;1;;;;;00000000853;500;"Уголок ПЛ с заглушкой Бук";"Уголок ПЛ с заглушкой Бук";;;;2582_img.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Комплектующие для шкафов-купе/Комплектующие на шкаф ТОП-ЛАИН";"Уголок на шкаф-купе передней двери";11.20;ugolok-na-shkaf-kupe-perednej-dveri;1;;;;;00000002066;160;"Уголок на шкаф-купе передней двери";"Уголок на шкаф-купе передней двери";;;;118_image.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Комплектующие для шкафов-купе/Комплектующие на шкаф ТОП-ЛАИН";"Уголок на шкаф-купе задней двери";8.92;ugolok-na-shkaf-kupe-zadnej-dveri;1;;;;;00000000357;78;"Уголок на шкаф-купе задней двери";"Уголок на шкаф-купе задней двери";;;;117_image.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок мет.с пласт.наклад.";"Уголок мет. с пласт. наклад. 20*20 серый";5.74;ugolok-met-s-plast-naklad-2020-seryj;1;;;;;УТ000000618;306;"Уголок мет. с пласт. наклад. 20*20 серый";"Уголок мет. с пласт. наклад. 20*20 серый";;;;105984.jpeg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок мет.с пласт.наклад.";"Уголок мет. с пласт. наклад. 20*20 венге";5.74;ugolok-met-s-plast-naklad-2020-venge;1;;;;;УТ000000615;44;"Уголок мет. с пласт. наклад. 20*20 венге";"Уголок мет. с пласт. наклад. 20*20 венге";;;;105984_1.jpeg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок металлический";"Уголок мет. 40*40 цинк (2000шт)";3.50;ugolok-met-4040-tsink-2000sht;1;;;;;00000001496;688;"Уголок мет. 40*40 цинк (2000шт)";"Уголок мет. 40*40 цинк (2000шт)";;;;310.jpg;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крепёжная фурнитура/Уголоки/Уголок металлический";"Уголок мет. 40*40 покр. ";2.00;ugolok-met-4040-pokr-;1;;;;;00000002222;7;"Уголок мет. 40*40 покр. ";"Уголок мет. 40*40 покр. ";;;;medium_ygolok_s_rebrom_c502fe.jpg;;;;;;;;;;;;;;;;;;;;;;;;
